source_record_id,source,source_place_id,name,normalized_name,address,city_regency,district,village,latitude,longitude,categories,rating,review_count,phone,website,price_min,price_max,currency,price_notes,opening_hours,business_status,facilities,source_url,collected_at,classification,classification_confidence,classification_signals,classification_reason,dedup_cluster_id,dedup_reason,raw_payload_path,query_region
apify_google_maps_ChIJ2d_YuZbbQC4R7dIlXkYV5Mw,apify_google_maps,ChIJ2d_YuZbbQC4R7dIlXkYV5Mw,MARKAS BESAR MALIO,markas besar malio,"Jl. Pulau Morotai No.12, Jagabaya III, Kec. Sukarame, Kota Bandar Lampung, Lampung 35122, Indonesia",Kota Bandar Lampung,"Jagabaya III, Kecamatan Sukarame",,-5.392051,105.2799867,['rumah wisata'],5.0,3.0,,https://www.google.com/maps/search/?api=1&query=markas%20besar%20malio&query_place_id=chij2d_yuzbbqc4r7dilxkyv5mw,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=MARKAS%20BESAR%20MALIO&query_place_id=ChIJ2d_YuZbbQC4R7dIlXkYV5Mw,2026-07-13T02:40:36.712Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJPUdWWTLbQC4RDC9ckAYGoJg,apify_google_maps,ChIJPUdWWTLbQC4RDC9ckAYGoJg,Fathul Mufid,fathul mufid,"Jl. Pulau Sangiang No.30, Sukarame, Kec. Sukarame, Kota Bandar Lampung, Lampung 35131, Indonesia",Kota Bandar Lampung,"Sukarame, Kecamatan Sukarame",,-5.390456,105.297646,['rumah wisata'],5.0,1.0,,https://www.google.com/maps/search/?api=1&query=fathul%20mufid&query_place_id=chijpudwwtlbqc4rdc9ckaygojg,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Fathul%20Mufid&query_place_id=ChIJPUdWWTLbQC4RDC9ckAYGoJg,2026-07-13T02:40:36.712Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJ1fjX2qPbQC4RaoQQmS6gb8Q,apify_google_maps,ChIJ1fjX2qPbQC4RaoQQmS6gb8Q,Rumah bokas,rumah bokas,"Jl. Pulau Singkep No.1, Sukabumi, Kec. Sukabumi, Kota Bandar Lampung, Lampung 35122, Indonesia",Kota Bandar Lampung,"Sukabumi, Kecamatan Sukabumi",,-5.3941825,105.3057555,['rumah wisata'],,,,https://www.google.com/maps/search/?api=1&query=rumah%20bokas&query_place_id=chij1fjx2qpbqc4raoqqms6gb8q,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Rumah%20bokas&query_place_id=ChIJ1fjX2qPbQC4RaoQQmS6gb8Q,2026-07-13T02:40:36.712Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJOYR74HnbQC4R75sTfGlCi0w,apify_google_maps,ChIJOYR74HnbQC4R75sTfGlCi0w,Ya2t house,ya2t house,"Jl. Pulau bangka, perumahan puri saujana, blok d1, Sukabumi, Kec. Sukabumi, Kota Bandar Lampung, Lampung 35134, Indonesia",Kota Bandar Lampung,"Sukabumi, Kecamatan Sukabumi",,-5.4026236,105.3020591,['rumah wisata'],5.0,3.0,+6281278046044,https://www.google.com/maps/search/?api=1&query=ya2t%20house&query_place_id=chijoyr74hnbqc4r75stfglci0w,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Ya2t%20house&query_place_id=ChIJOYR74HnbQC4R75sTfGlCi0w,2026-07-13T02:40:36.712Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJF2R2XgDbQC4ReffwQV3xSxU,apify_google_maps,ChIJF2R2XgDbQC4ReffwQV3xSxU,Rumah Derri,rumah derri,"Jl. Pulau Singkep No.18, Sukarame, Kec. Sukarame, Kota Bandar Lampung, Lampung 35122, Indonesia",Kota Bandar Lampung,"Sukarame, Kecamatan Sukarame",,-5.3945385,105.3042376,['rumah wisata'],,,,https://www.google.com/maps/search/?api=1&query=rumah%20derri&query_place_id=chijf2r2xgdbqc4reffwqv3xsxu,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Rumah%20Derri&query_place_id=ChIJF2R2XgDbQC4ReffwQV3xSxU,2026-07-13T02:40:36.712Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJZZj18oTbQC4ROWRReYOFkW0,apify_google_maps,ChIJZZj18oTbQC4ROWRReYOFkW0,Moro Homestay,moro homestay,"Jl. Pulau Morotai No.12, Jagabaya III, Kec. Way Halim, Kota Bandar Lampung, Lampung 35132, Indonesia",Kota Bandar Lampung,"Jagabaya III, Kecamatan Way Halim",,-5.4016514,105.2781683,['rumah wisata'],5.0,2.0,+6281379600609,https://www.google.com/maps/search/?api=1&query=moro%20homestay&query_place_id=chijzzj18otbqc4rowrreyofkw0,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Moro%20Homestay&query_place_id=ChIJZZj18oTbQC4ROWRReYOFkW0,2026-07-13T02:40:36.712Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJGXSuAIDbQC4R1Mcgd9ej21I,apify_google_maps,ChIJGXSuAIDbQC4R1Mcgd9ej21I,Homestay SEHATI,homestay sehati,"Jl. Pulau Singkep No.23, Sukarame, Kec. Sukarame, Kota Bandar Lampung, Lampung 35122, Indonesia",Kota Bandar Lampung,"Sukarame, Kecamatan Sukarame",,-5.3926544,105.2998858,['rumah wisata'],5.0,4.0,,https://www.google.com/maps/search/?api=1&query=homestay%20sehati&query_place_id=chijgxsuaidbqc4r1mcgd9ej21i,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Homestay%20SEHATI&query_place_id=ChIJGXSuAIDbQC4R1Mcgd9ej21I,2026-07-13T02:40:36.712Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJu44oJADbQC4R_s24HlW7fwM,apify_google_maps,ChIJu44oJADbQC4R_s24HlW7fwM,Safe house,safe house,"Jl. Pulau Buton No.Dalam, Jagabaya II, Kec. Way Halim, Kota Bandar Lampung, Lampung 35122, Indonesia",Kota Bandar Lampung,"Jagabaya II, Kecamatan Way Halim",,-5.3974762,105.2718818,['rumah wisata'],,,,https://www.google.com/maps/search/?api=1&query=safe%20house&query_place_id=chiju44ojadbqc4r_s24hlw7fwm,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Safe%20house&query_place_id=ChIJu44oJADbQC4R_s24HlW7fwM,2026-07-13T02:40:36.713Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJvUy8ysnbQC4RUn34XTIC9JY,apify_google_maps,ChIJvUy8ysnbQC4RUn34XTIC9JY,Hi. Darsani,hi darsani,"Jl. Pulau Bacan Gg. Cempaka No.36, Jagabaya II, Kec. Sukabumi, Kota Bandar Lampung, Lampung 35122, Indonesia",Kota Bandar Lampung,"Jagabaya II, Kecamatan Sukabumi",,-5.402319,105.2686317,['rumah wisata'],5.0,2.0,,https://www.google.com/maps/search/?api=1&query=hi.%20darsani&query_place_id=chijvuy8ysnbqc4run34xtic9jy,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Hi.%20Darsani&query_place_id=ChIJvUy8ysnbQC4RUn34XTIC9JY,2026-07-13T02:40:37.561Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJg5mSdQDbQC4R9MN5O2_J2ms,apify_google_maps,ChIJg5mSdQDbQC4R9MN5O2_J2ms,KostMuliku,kostmuliku,"Jl. Pulau Singkep No.23, Sukarame, Kec. Sukarame, Kota Bandar Lampung, Lampung 35122, Indonesia",Kota Bandar Lampung,"Sukarame, Kecamatan Sukarame",,-5.3926694,105.2999395,['rumah wisata'],,,,https://www.google.com/maps/search/?api=1&query=kostmuliku&query_place_id=chijg5msdqdbqc4r9mn5o2_j2ms,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=KostMuliku&query_place_id=ChIJg5mSdQDbQC4R9MN5O2_J2ms,2026-07-13T02:40:37.561Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJq89iEwDbQC4R3hPTnXEiuvE,apify_google_maps,ChIJq89iEwDbQC4R3hPTnXEiuvE,Kos mba ntus,kos mba ntus,"Jl. Pulau Bawean Gg. Jadi No.I 2 No. 10, Lk. I, Sukarame, Kec. Sukarame, Kota Bandar Lampung, Lampung 35131, Indonesia",Kota Bandar Lampung,"Lk. I, Sukarame, Kecamatan Sukarame",,-5.3883443,105.2986623,['rumah wisata'],5.0,1.0,,https://www.google.com/maps/search/?api=1&query=kos%20mba%20ntus&query_place_id=chijq89iewdbqc4r3hptnxeiuve,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Kos%20mba%20ntus&query_place_id=ChIJq89iEwDbQC4R3hPTnXEiuvE,2026-07-13T02:40:37.561Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJjclh_DvbQC4RuWtlNA6n5_I,apify_google_maps,ChIJjclh_DvbQC4RuWtlNA6n5_I,Kost kosan,kost kosan,"Jl. Pulau Singkep No.377, Sukarame, Kec. Sukarame, Kota Bandar Lampung, Lampung 35122, Indonesia",Kota Bandar Lampung,"Sukarame, Kecamatan Sukarame",,-5.3944535,105.3028001,['rumah wisata'],5.0,1.0,,https://www.google.com/maps/search/?api=1&query=kost%20kosan&query_place_id=chijjclh_dvbqc4ruwtlna6n5_i,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Kost%20kosan&query_place_id=ChIJjclh_DvbQC4RuWtlNA6n5_I,2026-07-13T02:40:37.562Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJHfxjzBPRQC4RHmw-S9NYaDY,apify_google_maps,ChIJHfxjzBPRQC4RHmw-S9NYaDY,Kamar Gua,kamar,"J6H7+56V, Kemiling Permai, Kec. Kemiling, Kota Bandar Lampung, Lampung 35152, Indonesia",Kota Bandar Lampung,"Kemiling Permai, Kecamatan Kemiling",,-5.3718795,105.2129343,['rumah wisata'],,,,https://www.google.com/maps/search/?api=1&query=kamar%20gua&query_place_id=chijhfxjzbprqc4rhmw-s9nyady,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Kamar%20Gua&query_place_id=ChIJHfxjzBPRQC4RHmw-S9NYaDY,2026-07-13T02:40:45.518Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJQQ2Z2ADbQC4RgkmYQCHPu6c,apify_google_maps,ChIJQQ2Z2ADbQC4RgkmYQCHPu6c,desa teba jawa kecamatan kedondong kabupaten Lampung Selatan,teba jawa kedondong selatan,"J738+4PV, Jagabaya II, Kec. Way Halim, Kota Bandar Lampung, Lampung 35122, Indonesia",Kota Bandar Lampung,"Jagabaya II, Kecamatan Way Halim",,-5.3971396,105.2667887,['rumah wisata'],3.0,2.0,,https://www.google.com/maps/search/?api=1&query=desa%20teba%20jawa%20kecamatan%20kedondong%20kabupaten%20lampung%20selatan&query_place_id=chijqq2z2adbqc4rgkmyqchpu6c,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=desa%20teba%20jawa%20kecamatan%20kedondong%20kabupaten%20Lampung%20Selatan&query_place_id=ChIJQQ2Z2ADbQC4RgkmYQCHPu6c,2026-07-13T02:40:52.458Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJyd59IerdQC4RI-1xSZOYRh4,apify_google_maps,ChIJyd59IerdQC4RI-1xSZOYRh4,Kobarel,kobarel,"Jl. Pulau Sebesi perum Arum lestari permai No.5, Sukarame, Kec. Sukarame, Kota Bandar Lampung, Lampung 35131, Indonesia",Kota Bandar Lampung,"Sukarame, Kecamatan Sukarame",,-5.3849041,105.3140044,['rumah wisata'],4.4,7.0,,https://www.google.com/maps/search/?api=1&query=kobarel&query_place_id=chijyd59ierdqc4ri-1xszoyrh4,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Kobarel&query_place_id=ChIJyd59IerdQC4RI-1xSZOYRh4,2026-07-13T02:41:03.909Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJuyeApi_bQC4R9vjJvOBBm-w,apify_google_maps,ChIJuyeApi_bQC4R9vjJvOBBm-w,iinadkost,iinadkost,"Jl. Pulau Pisang No.16, Harapan Jaya, Kec. Sukarame, Kota Bandar Lampung, Lampung 35131, Indonesia",Kota Bandar Lampung,"Harapan Jaya, Kecamatan Sukarame",,-5.374634,105.301665,['rumah wisata'],5.0,5.0,+6281279544445,https://www.google.com/maps/search/?api=1&query=iinadkost&query_place_id=chijuyeapi_bqc4r9vjjvobbm-w,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=iinadkost&query_place_id=ChIJuyeApi_bQC4R9vjJvOBBm-w,2026-07-13T02:41:04.475Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJqZUl2CzFQC4RbK0mAx9enc8,apify_google_maps,ChIJqZUl2CzFQC4RbK0mAx9enc8,RUMAH YANSAH,rumah yansah,"J7PR+QP9, Jl. Pulau Sari Raya XI, Way Hui, Kec. Jati Agung, Kabupaten Lampung Selatan, Lampung 35143, Indonesia",Kabupaten Lampung Selatan,"Way Hui, Kecamatan Jati Agung",,-5.3630769,105.2918822,['rumah wisata'],5.0,11.0,+62895640329792,https://www.google.com/maps/search/?api=1&query=rumah%20yansah&query_place_id=chijqzul2czfqc4rbk0max9enc8,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=RUMAH%20YANSAH&query_place_id=ChIJqZUl2CzFQC4RbK0mAx9enc8,2026-07-13T02:41:05.019Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJPSOQFADbQC4RFv1JTIruGPk,apify_google_maps,ChIJPSOQFADbQC4RFv1JTIruGPk,Koa,koa,"Jl. Gn. Rajabasa Raya No.43, Perumnas Way Halim, Kec. Way Halim, Kota Bandar Lampung, Lampung 35132, Indonesia",Kota Bandar Lampung,"Perumnas Way Halim, Kecamatan Way Halim",,-5.3771241,105.2754363,['rumah wisata'],,,,https://www.google.com/maps/search/?api=1&query=koa&query_place_id=chijpsoqfadbqc4rfv1jtirugpk,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Koa&query_place_id=ChIJPSOQFADbQC4RFv1JTIruGPk,2026-07-13T02:41:05.970Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJ7bf4Yj3bQC4Ro793pDlkq2o,apify_google_maps,ChIJ7bf4Yj3bQC4Ro793pDlkq2o,Omah kost,omah kost,"Jl. Terusan Murai 1 RT/LK, 02, RW.1, Desa Korpri Raya, Kec. Sukarame, Kota Bandar Lampung, Lampung 35131, Indonesia",Kota Bandar Lampung,"Desa Korpri Raya, Kecamatan Sukarame",,-5.37168,105.2924383,['rumah wisata'],5.0,1.0,+6282234571111,https://www.google.com/maps/search/?api=1&query=omah%20kost&query_place_id=chij7bf4yj3bqc4ro793pdlkq2o,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Omah%20kost&query_place_id=ChIJ7bf4Yj3bQC4Ro793pDlkq2o,2026-07-13T02:41:13.377Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
