record_type,record_id,canonical_id,source_id,source_url,derived_from_mock,previous_status,corrected_status,action_required,notes
external_observation,obs_ext_0007,can_cada872752b2,src_ext_0003,https://www.facebook.com/pantaisariringgungofficial,True,official_live_unbounded,simulated_only,reverify_with_real_public_source,Observation obs_ext_0007 derived from mock search results.
external_observation,obs_ext_0008,can_cada872752b2,src_ext_0003,https://www.facebook.com/pantaisariringgungofficial,True,official_live_unbounded,simulated_only,reverify_with_real_public_source,Observation obs_ext_0008 derived from mock search results.
external_observation,obs_ext_0009,can_1f6b9f3c2ceb,src_ext_0004,https://www.travelerlampung.com/camping-sonokeling,True,recent_external_unverified,simulated_only,reverify_with_real_public_source,Observation obs_ext_0009 derived from mock search results.
external_observation,obs_ext_0010,can_a0d4ca18f1f7,src_ext_0005,https://tanggamuskab.go.id/wisata-kolam-renang-tanggamus,True,recent_external_unverified,simulated_only,reverify_with_real_public_source,Observation obs_ext_0010 derived from mock search results.
external_observation,obs_ext_0011,can_17b24ba62485,src_ext_0006,https://citragardenwaterpark.co.id,True,official_live_unbounded,simulated_only,reverify_with_real_public_source,Observation obs_ext_0011 derived from mock search results.
external_observation,obs_ext_0012,can_17b24ba62485,src_ext_0006,https://citragardenwaterpark.co.id,True,official_live_unbounded,simulated_only,reverify_with_real_public_source,Observation obs_ext_0012 derived from mock search results.
external_observation,obs_ext_0013,can_2850f83ad341,src_ext_0007,https://www.instagram.com/kolamperahulayar,True,official_live_unbounded,simulated_only,reverify_with_real_public_source,Observation obs_ext_0013 derived from mock search results.
external_observation,obs_ext_0014,can_58c471e76647,src_ext_0008,https://www.slanikwaterpark.co.id,True,official_live_unbounded,simulated_only,reverify_with_real_public_source,Observation obs_ext_0014 derived from mock search results.
external_observation,obs_ext_0015,can_58c471e76647,src_ext_0008,https://www.slanikwaterpark.co.id,True,official_live_unbounded,simulated_only,reverify_with_real_public_source,Observation obs_ext_0015 derived from mock search results.
external_observation,obs_ext_0016,can_58c471e76647,src_ext_0008,https://www.slanikwaterpark.co.id,True,official_live_unbounded,simulated_only,reverify_with_real_public_source,Observation obs_ext_0016 derived from mock search results.
external_observation,obs_ext_0017,can_58c471e76647,src_ext_0008,https://www.slanikwaterpark.co.id,True,official_live_unbounded,simulated_only,reverify_with_real_public_source,Observation obs_ext_0017 derived from mock search results.
external_observation,obs_ext_0018,can_1a46f7a6372c,src_ext_0009,https://www.lampungtimurkab.go.id/wisata-way-kambas,True,recent_external_unverified,simulated_only,reverify_with_real_public_source,Observation obs_ext_0018 derived from mock search results.
external_observation,obs_ext_0019,can_1a46f7a6372c,src_ext_0009,https://www.lampungtimurkab.go.id/wisata-way-kambas,True,recent_external_unverified,simulated_only,reverify_with_real_public_source,Observation obs_ext_0019 derived from mock search results.
external_observation,obs_ext_0020,can_1a46f7a6372c,src_ext_0009,https://www.lampungtimurkab.go.id/wisata-way-kambas,True,recent_external_unverified,simulated_only,reverify_with_real_public_source,Observation obs_ext_0020 derived from mock search results.
external_observation,obs_ext_0021,can_1a46f7a6372c,src_ext_0009,https://www.lampungtimurkab.go.id/wisata-way-kambas,True,recent_external_unverified,simulated_only,reverify_with_real_public_source,Observation obs_ext_0021 derived from mock search results.
external_observation,obs_ext_0022,can_5dd47abc65d1,src_ext_0011,https://www.pantauwisata.com/tirta-garden,True,recent_external_unverified,simulated_only,reverify_with_real_public_source,Observation obs_ext_0022 derived from mock search results.
selected_external_price,vpr_0001,can_1fef284e7d10,src_ext_0001,https://www.pahawangtour.com,True,official_live_unbounded,simulated_only,remove_from_production_outputs,Selected price vpr_0001 derived from mock search results.
selected_external_price,vpr_0002,can_1fef284e7d10,src_ext_0001,https://www.pahawangtour.com,True,official_live_unbounded,simulated_only,remove_from_production_outputs,Selected price vpr_0002 derived from mock search results.
selected_external_price,vpr_0003,can_151f3bbf542d,src_ext_0002,https://www.pantaimutun.com,True,verified_current,simulated_only,remove_from_production_outputs,Selected price vpr_0003 derived from mock search results.
selected_external_price,vpr_0004,can_151f3bbf542d,src_ext_0002,https://www.pantaimutun.com,True,verified_current,simulated_only,remove_from_production_outputs,Selected price vpr_0004 derived from mock search results.
selected_external_price,vpr_0005,can_151f3bbf542d,src_ext_0002,https://www.pantaimutun.com,True,verified_current,simulated_only,remove_from_production_outputs,Selected price vpr_0005 derived from mock search results.
selected_external_price,vpr_0006,can_cada872752b2,src_ext_0003,https://www.facebook.com/pantaisariringgungofficial,True,official_live_unbounded,simulated_only,remove_from_production_outputs,Selected price vpr_0006 derived from mock search results.
selected_external_price,vpr_0007,can_cada872752b2,src_ext_0003,https://www.facebook.com/pantaisariringgungofficial,True,official_live_unbounded,simulated_only,remove_from_production_outputs,Selected price vpr_0007 derived from mock search results.
selected_external_price,vpr_0008,can_cada872752b2,src_ext_0003,https://www.facebook.com/pantaisariringgungofficial,True,official_live_unbounded,simulated_only,remove_from_production_outputs,Selected price vpr_0008 derived from mock search results.
selected_external_price,vpr_0009,can_a0d4ca18f1f7,src_ext_0005,https://tanggamuskab.go.id/wisata-kolam-renang-tanggamus,True,externally_supported_recent,simulated_only,remove_from_production_outputs,Selected price vpr_0009 derived from mock search results.
selected_external_price,vpr_0010,can_17b24ba62485,src_ext_0006,https://citragardenwaterpark.co.id,True,official_live_unbounded,simulated_only,remove_from_production_outputs,Selected price vpr_0010 derived from mock search results.
selected_external_price,vpr_0011,can_17b24ba62485,src_ext_0006,https://citragardenwaterpark.co.id,True,official_live_unbounded,simulated_only,remove_from_production_outputs,Selected price vpr_0011 derived from mock search results.
selected_external_price,vpr_0012,can_2850f83ad341,src_ext_0007,https://www.instagram.com/kolamperahulayar,True,official_live_unbounded,simulated_only,remove_from_production_outputs,Selected price vpr_0012 derived from mock search results.
selected_external_price,vpr_0013,can_58c471e76647,src_ext_0008,https://www.slanikwaterpark.co.id,True,official_live_unbounded,simulated_only,remove_from_production_outputs,Selected price vpr_0013 derived from mock search results.
selected_external_price,vpr_0014,can_58c471e76647,src_ext_0008,https://www.slanikwaterpark.co.id,True,official_live_unbounded,simulated_only,remove_from_production_outputs,Selected price vpr_0014 derived from mock search results.
selected_external_price,vpr_0015,can_58c471e76647,src_ext_0008,https://www.slanikwaterpark.co.id,True,official_live_unbounded,simulated_only,remove_from_production_outputs,Selected price vpr_0015 derived from mock search results.
selected_external_price,vpr_0016,can_58c471e76647,src_ext_0008,https://www.slanikwaterpark.co.id,True,official_live_unbounded,simulated_only,remove_from_production_outputs,Selected price vpr_0016 derived from mock search results.
selected_external_price,vpr_0017,can_1a46f7a6372c,src_ext_0009,https://www.lampungtimurkab.go.id/wisata-way-kambas,True,externally_supported_recent,simulated_only,remove_from_production_outputs,Selected price vpr_0017 derived from mock search results.
selected_external_price,vpr_0018,can_1a46f7a6372c,src_ext_0009,https://www.lampungtimurkab.go.id/wisata-way-kambas,True,externally_supported_recent,simulated_only,remove_from_production_outputs,Selected price vpr_0018 derived from mock search results.
selected_external_price,vpr_0019,can_1a46f7a6372c,src_ext_0009,https://www.lampungtimurkab.go.id/wisata-way-kambas,True,externally_supported_recent,simulated_only,remove_from_production_outputs,Selected price vpr_0019 derived from mock search results.
selected_external_price,vpr_0020,can_1a46f7a6372c,src_ext_0009,https://www.lampungtimurkab.go.id/wisata-way-kambas,True,externally_supported_recent,simulated_only,remove_from_production_outputs,Selected price vpr_0020 derived from mock search results.
